user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
imyoonakute,2016-06-23T16:37:00,Cafe 108,"Luôn đông khách, đồ ăn vặt+ đồ uống chất lượng, nhân viên+ chủ quán thân thiện, chém gió thâu đêm😂😂😂 , ca nhạc các thứ, ó hiên nhìn ra ngoài phố mát!!!🐾😌❤️❤️",10.0,9.0,10.0,10.0,9.0,None,0,cao-bang,all,23/67/,45/
duccuong68,2018-04-10T10:41:00,Nhất Lẩu - Quán Ăn Gia Đình,Quán Lẩu ngon nhất Cao Bằng đây rồi ! Nằm ngay trên con phố sầm uất nhất thành phố Cao Bằng . Cả nhà hãy đến thưởng thức và cảm nhận nhé ! rất tuyệt vời 😍😍,9.0,9.0,9.0,9.0,9.0,None,0,cao-bang,all,77/,45/
phuonganh1996,2018-03-18T09:33:00,Lẩu thái hải sản,"Mình ở Hà Nội có ghé thăm Cao Bằng vào 2 ngày cuối tuần. Buổi tối định đi ăn vịt quay nhưng cô chủ homestay bảo tầm này hết mất rồi nên chúng mình hỏi cô về quán lẩu và cô dẫn ra đây luôn. 4 người gọi nồi lẩu thái hải sản 450k, thêm 1 âu trà đá và 1 đĩa ngô chiên hết tất cả 495k. Nhân viên chưa biết tư vấn chọn đồ cho khách. Đồ ăn ở đây rất ngon, vừa miệng, nhất là nước lẩu 🤗 Đây là 1 trong những địa điểm ăn tối hợp lí nếu các bạn ghé tới Cao Bằng.",5.0,5.0,6.0,5.0,5.0,None,0,cao-bang,all,77/,45/
phngmnh6140,2018-06-05T21:07:00,Hùng Trinh BBQ,"Nhà hàng làm ăn điêu, t là khách du lịch lần đầu tiên vào ăn và cũng ko bh có ý định quay lại. Ăn mang cái tức vào người. Tối nay gđ gọi 1 nồi lẩu chim sường sụn trứng non trên mẹnu ghi 350k. Lúc tt tính 500k. M bảo thì con nv nó bảo thực đơn cũ chưa sửa giá. Ts nhà nó. Giá mới chưa cập nhật thì lúc khách gọi chúng nó phải mở mồm ra bảo chứ. Thế có khác gì lừa đảo ko. Quá thất vọng . Khuyên du khách đừng bao giờ ghé vào để bị lừa như nhà t . Nếu có điểm đánh giá âm để tôi cho",1.0,1.0,1.0,1.0,1.0,None,0,cao-bang,all,77/,11/
foodee_7bfd36b6,2017-07-18T23:51:00,Hùng Trinh BBQ,"Hôm đầu mình qua ăn nướng thấy khá ok giá cả hợp lý, đáng quay lại. Lần 2 qua ăn lẩu, bê đĩa đậu phụ đóng đá ra mình đã ko ưng rồi, nước lẩu nhạt ko có vị gì, mình phải gọi nhân viên mang gia vị để nêm lại. À có một bát nhỏ kia là mọc nhé ( ăn chả ra gì mà tính tiền ngoài 20k) mn nên trả lại. Bò ăn tạm ổn, được cái rau nhiều, tươi. Sụn gà rang muối hơi khô, chiên cho lá chanh bị đắng, thêm chút bơ thì thơm hơn. Mình gọi nhiều + góp ý nước lẩu nhân viên thái độ ko niềm nở.",7.0,8.0,7.0,4.0,8.0,None,1,cao-bang,all,77/,11/
kimsunghoon,2018-05-17T10:59:00,ko ngon,ở đây giá vừa đắt vừa ko ngon. chỉ gọi một nửa con vịt quay mà 250k. ko hiểu gì cả.,1.0,1.0,1.0,1.0,1.0,None,0,cao-bang,all,48/,43/
hongminh317,2016-10-24T22:21:00,Nice,"Quán ăn khá lớn nằm trên một con phố yên tĩnh ở trung tâm thành phố. Món ăn đa dạng, có từ đồ ăn theo món các loại như gà, bò,..cho tới đặc sản Cao Bằng hay cơm suất. Bọn mình có gọi xôi trám ăn khá ngon, gia vị nêm vừa phải. Vị trám chua chua, xào qua mỡ hành ăn với xôi hoá ra lại rất hợp. Đậu non lướt ván ăn béo và ngậy. Nhân viên siêu thân thiện, giúp mình chọn món và làm theo yêu cầu của khách. Mình có gọi xôi trám suất nhỏ các bạn cũng đồng ý. Giá cả phải chăng. Nhìn chung khá hài lòng.",7.0,7.0,7.0,8.0,8.0,None,0,cao-bang,all,48/,43/
trantuanttvt,2016-07-13T12:03:00,Phục vụ kém,"Phục vụ chậm. Không quan tâm khách vào trước sau. mình vào trước 15p chưa thấy đồ ăn đâu, người vào sau aen trước dù 2 món tương tự...thất vọng!",6.0,6.0,6.0,1.0,5.0,None,1,cao-bang,all,48/,43/
hoangluu.cb91,2015-04-27T19:01:00,"Giá bình dân, rất hợp lý","Giá cả phải chăng, đồ ăn ngon, chất lượng tốt .phục vụ nhiệt tình, chu đáo",8.0,9.0,9.0,8.0,9.0,None,0,cao-bang,all,48/,43/
thanbk,2014-09-16T21:01:00,Lá Cọ Xanh,Món ngon vùng miền núi giá hơp lý,7.0,7.0,7.0,6.0,6.0,None,0,cao-bang,all,48/,45/
