user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
Nhuta1911,2020-01-23T13:48:00,"Quán dơ, chủ gom mèo về ủ thành dịch bệnh","Đến quán hắt xì xổ mũi liên tục, nồng nặc mùi bệnh, mèo ko được chữa trị dứt điểm nên con nào cũng lờ đờ chán sống, vậy mà chủ quán vẫn gom thêm một đống mèo bệnh về rồi nhốt chung mèo bệnh với mèo khoẻ, kinh doanh ăn uống mà ảnh hưởng đến sức khoẻ khách hàng kinh khủng, ko chịu vệ sinh quán mà suốt ngày cứ nói ""bán quán ko vì lợi nhuận"", ko có lợi nhuận vậy thì dẹp mẹ quán đi chứ ko có lợi nhuận duy trì để quán xập xệ mất vệ sinh vậy ko thấy thất đức hả",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
foodee_acv8h3wh,2020-01-23T12:12:00,"Quán rất dơ, ngược đãi động vật","Nhiều bạn gửi mèo vào neko sau đó mèo bị lây bệnh không chữa được. Mèo khoẻ mèo bệnh nhốt chung lẫn lộn. Quán xá bừa bãi đầy phân. Mèo ở đây bị hô hấp và tiêu hoá nặng. Đội cứu hộ tới neko thì bị vu khống và đặt điều trắng trợn. Mèo ốm nặng không chữa chỉ tiêm kháng sinh gây mù mắt 1 bé, số còn lại tử vong, xác bị vứt vào bao rác chứ không được thiêu tử tế. Toàn đăng bài giả nghèo giả khổ để mn quyên góp.",1.0,1.0,1.0,1.0,1.0,Không,0,ho-chi-minh,service,75/2/56/15/,40/
thucdoan2706,2020-01-22T22:58:00,Quán lợi dụng lòng tốt của người khác,"Mình đến quán 3 lần, lần nào cũng rất bừa bãi hôi thối, nước uống dở tệ, quầy pha chế bừa bộn, mèo khỏe mèo ốm lẫn lộn. Khuyên các bạn không nên đến đây, đừng để chủ quán lấy mèo ra làm cần câu cơm nhưng đối xử với tụi nó không ra gì.",1.0,4.0,1.0,2.0,1.0,None,1,ho-chi-minh,service,75/2/56/15/,40/
mashimaro52289,2020-01-22T22:36:00,Mất vệ sinh & không có tâm.,Quán này chuyên lấy ly và ống hút đã dùng rồi rửa lại và phục vụ cho những đợt khách sau. Mang tiếng foster mèo mà không có chút kiến thức về việc chăm sóc mèo. Để bọn mèo đói khát và lây bệnh chéo cho nhau. Lười và vô trách nhiệm vô cùng.,1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
thuyle9497,2020-01-01T11:55:00,Quán ngập tình yêu thương và nhân hậu,"Đọc trên Saigon ùm thấy có bạn review quán Neko coffee shop này thế là 2 chị em xách xe đi ngay nè. Quán do 1 anh chủ đáng yêu tốt bụng mở để cưu mang những bé mèo bị bỏ rơi nhằm tìm một mái ấm mới cho các con. Mục đích của quán ko phải là bán nước để kiếm lợi nhuận mà chỉ là một mái nhà chung cho các bé mèo lang thang cơ nhỡ. Nhưng ai tới quán rồi thì thấy thương lắm cơ! Quán ko có nhiều nhân viên do kinh phí hạn hẹp nên mong mn thông cảm. Gia đình anh chủ đang cố gắng để cải thiện về mùi, về không gian. Mn có thể tới đây để nựng các bé mèo, các con có đứa ốm trơ xương chắc do sống lang thang qá lâu, có mấy đứa bị ho sổ mũi rồi lây luôn cho mấy đứa khác, có đứa còn nhỏ xíu còn đang bú mẹ,...tất cả đều hiền ngoan chắc do hiểu đc thân phận mình. Các bạn nhớ tụi nhỏ có thể đến quán để ủng hộ 1 ly nước để anh chủ có tiền lo cho các con. Nhiều khi các bạn sẽ tìm đc 1 đứa cute để bắt đầu thân phận con sen nữa :)) Mình cũng đã từng nhặt 1 bé mèo hoang ngoài đường về nuôi nên rất hiểu và thương tụi nhỏ và rất đồng cảm với gia đình anh chủ. Địa chỉ quán: 417/1***P7, Q5. Hẻm hơi khó thấy, trước hẻm có cái bảng Chung cư 417*** có chỗ gửi xe ngay đầu hẻm lun",8.0,10.0,8.0,10.0,8.0,Chắc chắn,1,ho-chi-minh,service,75/2/56/15/,40/
nguyentien83,2019-12-30T17:00:00,"Thấy tội mấy bé mèo ốm yếu , bệnh tật","Vị trí hơi khó tìm , chạy kiếm gần cả chục vòng mới tìm ra , con hẻm kế bên mấy tiệm hòm , gửi xe đầu hẻm 5k , rồi đi bộ vô tầm hơn 100m , căn nhà cuối cùng là quán cf mèo. Không gian : có 2 phòng ( bên ngồi bệt , bên chiếu phim có ghế ngồi ) , và trên lầu. Mới vừa đặt chân tới cửa đã xộc mùi khó chịu , quán không được gọn gàng mấy , nhìn cứ nhếch nhác. Cô chủ lớn tuổi là người pha chế nước cho khách , còn anh con trai của cô thì lo các việc lặt vặt khác. Thấy quán cũng vắng nhưng không lau dọn kỹ và thường xuyên nên trong phòng vẫn còn dính phân và nước***mèo ... mình có báo nhưng 2 mẹ con cô cũng không lau dọn , khách bước vào phòng là xác định chân ai cũng rích khó chịu lắm + mùi hôi mặc dù khó xịt phòng cũng chẳng ăn thua. Thậm chí mình không dám ngồi bệt xuống sàn. Các bé mèo thì đa số ốm yếu và bệnh tật không được chăm sóc kỹ nên thấy tội chúng quá. Mình đến chủ yếu ủng hộ quán vì mấy bé mèo nhưng thấy mọi thứ chưa tốt nên chưa hài lòng lắm. Ngồi chưa được 20' là mình dẫn con về ngay vì chịu không nổi cái mùi và sàn dơ , mặt mấy bé mèo buồn và khờ đi nên chẳng dám động sợ các bé đừ đẫn., thôi về luôn. Chất lượng nước uống không được ngon , nhạt lắm , ly trà đào 25k được 1 miếng đào mà uống chán hết sức , mình bỏ cả ly luôn. Bánh tráng muối 15k đem ra vẫn để nguyên trong bịch , ăn bình thường.",8.0,8.0,6.0,7.0,7.0,Không,1,ho-chi-minh,service,75/2/56/15/,40/
alizaera,2019-08-06T09:07:00,Neko Coffee Shop,"Nghe tin quán dời sang địa chỉ mới mình cũng vui lắm, tại nó không gian thoải mái hơn và cũng gần nhà mình hơn. Quán chủ yếu bán đồ ăn thức uống để có tiền mua đồ ăn cát vệ sinh cho các bé ấy, nên là giá cũng rẻ, dao động từ 10k - 30k thui à. Mấy bé mèo ở đây dễ thương lắm luôn, rất quấn người. Nếu mọi người muốn giúp đỡ các bé thì có thể mang cát vệ sinh hay thức ăn cho mèo để tặng quán nha.",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ho-chi-minh,service,75/2/56/15/,40/
luuthihongnhung1505,2019-05-06T11:59:00,Quán cafe dành cho các bạn yêu mèo,"Quán cafe dành cho các bạn yêu mèo hoặc muốn nhận mèo Các bạn yêu mèo nên đi nhé , Để ủng hộ quán Đây là nơi anh chủ nhận mèo bị bỏ , chăm rồi cho các bạn muốn nhận nuôi Anh chủ rất có tâm nhé , quán nhỏ nhưng nhiều mèo , chủ yếu là mèo ta , 2-3 con mèo tây ,có cả các bé bị khuyết tật và động kinh ( nhưng rất hiền và mập nhé ) Quán còn bán dụng cụ của thú cưng Để duy trì và giữ các bé cũng rất khó khăn rồi , anh chỉ kêu gọi các bạn qua uống nước và chơi với các bé thôi Nước uống cũng khá rẻ 10-20k thôi , sạch sẽ lắm nhé Mình nghe nói có đợt không có khách , rất khó khăn để duy trì , nhưng anh chủ rất cố gắng để giữ các bé Mong các bạn sẽ ủng hộ quán",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,service,75/2/56/15/,40/
ingosblue,2021-04-28T21:58:00,Trung & Hạnh - Phòng Mạch Thú Y,Ở Bình thạnh thì nên đem các bé qua phòng khám thú y 47 bình lợi các bạn nhé. Chữa có tâm mà rất giỏi,4.0,4.0,4.0,4.0,2.0,None,0,ho-chi-minh,service,15/,40/
foodee_e4b567fb,2019-06-16T00:01:00,"Phòng khám thiếu chuyên môn, gây chết thú nuôi","Mang thú cưng của bạn ra đây nó sẽ chết hoặc không bao giờ lành bệnh. Toàn là nhân viên thực tập không có chuyên môn, tiêm chích loạn xạ. Cho thuốc uống 3 tuần không hết. Ra kêu sức khoẻ bé yếu. Nó sổ mũi thôi mà. Xong kêu tiêm, về chó mình chết trong đau đớn. Hận là ko đốt được cái phòng khám này.",8.0,1.0,1.0,1.0,2.0,Không,0,ho-chi-minh,service,15/,40/
